YEAR,CGPD RELATIVE TO THE UNITED STATES (unit US=100),CONSUMPTION SHARE OF CGPD (unit %),CONSUMPTION SHARE OF RGDPL (unit %),CURRENT SAVINGS (unit %),EXCHANGE RATE (unit US=1),GOVERNMENT SHARE OF CGDP (unit %),GOVERNMENT SHARE OF RGDPL (unit %),INVESTMENT SHARE OF CGDP (unit %),INVESTMENT SHARE OF RGDPL (unit %),OPENNESS IN CONSTANT PRICES (unit %),OPENNESS IN CURRENT PRICES (unit %),POPULATION (unit 000S),PRICE LEVEL OF CONSUMPTION (unit PPP/XRATE),PRICE LEVEL OF GOVERNMENT (unit PPP/XRATE),PRICE LEVEL OF GROSS DOMESTIC PRODUCT (unit US=100),PRICE LEVEL OF INVESTMENT (unit PPP/XRATE),RATIO OF GNP TO GDP (CURRENT PRICES) (unit %),REAL GROSS DOMESTIC PRODUCT PER CAPITA (CURRENT PRICES) (unit $ CURRENT)
1983,22.454702481,76.198938567,85.222814444,9.6480432379,0.678766727,14.153018195,15.281381838,18.003576791,17.916821193,87.005046158,77.084033509,6905.9,27.399004619,43.076148358,36.033365592,67.04123226,96.797870522,3355.7673765
1984,21.227082243,78.234039286,85.596327988,7.1734732137,0.776833296,14.592487501,15.366375003,18.538954594,18.497655143,86.363145929,77.29087493,7043.93,25.084713323,38.719975953,33.491767134,64.854118413,96.920031501,3498.9656534
1985,21.062380394,76.12376974,80.83379089,9.3927984836,0.834495783,14.483431776,14.803332385,15.422748729,14.950369959,74.493923682,70.236382621,7261.79,24.274487697,36.959598672,31.412281115,61.433618774,95.818076913,3686.9277145
1986,19.49784578,79.480983483,81.204076927,5.632618726,0.794029176,14.886397791,14.734432307,12.75233156,12.005079781,74.360693757,67.485056969,7494.1,26.577833642,40.201839257,33.667640058,70.228334546,95.324285264,3574.1162944
1987,19.906030939,75.652061034,77.045095146,10.598159015,0.828662515,13.749779951,13.876849208,11.587543775,11.025968865,72.337047618,70.642043795,7686.26,26.218674401,40.371693081,32.753784598,66.380409682,94.987124015,3851.6590283
1988,19.065616728,75.929344357,77.158513465,10.458686005,0.857804179,13.611969639,13.694831696,10.098433831,9.5386643204,84.651245244,83.675496784,7859.16,26.784828093,39.740272935,32.620070707,66.897283902,95.069627769,3938.2093388
1989,18.206046216,75.171161426,77.037074184,10.02380501,0.949320793,14.805033564,14.779562194,13.339792272,12.737008488,94.219153708,92.007209825,7960.26,26.205354164,36.962882781,31.7000633,56.822452135,95.263763894,4003.2592498
1990,18.723894888,77.356103711,78.676218572,7.9374307747,0.878333271,14.706465515,14.200875748,14.984594308,14.488681677,95.090483101,94.161267621,8156,26.367219715,38.984329841,35.051016937,76.019732897,96.678904324,4307.4223529
1991,19.303338546,76.241678675,76.534230113,9.6362581927,0.924620807,14.122063132,14.313003931,14.591035738,13.828474556,88.203649066,85.686022269,8341.13,25.432847334,40.394348699,34.424558936,75.630505487,96.11016547,4530.7004429
1992,19.662048142,77.126072293,76.923048819,8.9894735903,0.884433329,13.884454117,13.877158886,15.919335559,15.581082721,91.254370736,85.999460091,8514.7,27.720145183,43.509720326,37.754107827,81.346793471,95.399064063,4820.6864939
1993,19.336170761,78.04287047,77.214383909,7.7579911516,1.00374198,14.199138378,14.101973553,15.278331969,14.793942548,91.361725639,88.411572599,8675.83,27.129894393,39.093536098,34.142773327,65.364024281,94.145086491,4931.6011772
1994,19.431931985,76.170995564,75.711534304,9.6999150312,1.011554003,14.129089405,13.977019708,12.707444641,12.45302247,93.762962108,92.731070332,8823.69,27.649475243,39.659827687,33.963062953,65.473895736,94.346181456,5214.3871883
1995,19.157447693,76.852098841,76.187101038,8.6942698348,0.945749998,14.453631325,14.064897687,12.77665735,12.512800916,93.835678264,93.384709597,8957.5,30.530422636,43.882442874,37.57785665,72.836368961,95.132290668,5343.9544975
1996,19.970088551,77.479717208,77.479717208,11.504338299,0.973408282,11.015944493,11.015944493,13.056840104,13.056840104,85.786215916,85.786215916,9089.3,30.406190715,42.835227232,36.962544499,70.913430517,94.732561892,5830.0497682
1997,19.73461626,78.105444687,76.912274241,10.664866025,1.105908036,11.229689288,11.111798452,13.120696492,13.038510755,89.160626234,89.978616265,9215,26.026078887,47.379482233,33.745045474,68.025453505,95.224694247,6077.8351487
1998,19.710025917,79.274137323,77.474516735,9.6243746676,1.138725042,11.101488009,11.004699869,12.976098802,13.11824646,89.33517959,89.28519152,9333.3,25.621977383,47.395433927,33.478631595,69.570547806,95.63116666,6352.5786516
1999,20.126398368,78.736261351,77.113082589,10.273884314,1.186225057,10.989854335,10.797989273,12.491004521,12.941804355,87.327827389,86.644613434,9455.9,24.854989468,46.051416633,32.67068286,70.163757313,95.688369997,6787.7825965
2000,20.018006573,78.560538606,77.78476971,9.7412526099,1.370682955,11.698208784,10.840407386,13.290415776,13.533619377,90.525939343,91.57504578,9563.5,21.976468824,38.201671068,28.541694191,58.846480836,95.427850043,7130.1470133
