"YEAR","Indonesia/CGPD RELATIVE TO THE UNITED STATES (unit US=100)","Indonesia/CONSUMPTION SHARE OF CGPD (unit %)","Indonesia/CONSUMPTION SHARE OF RGDPL (unit %)","Indonesia/CURRENT SAVINGS (unit %)","Indonesia/EXCHANGE RATE (unit US=1)","Indonesia/GOVERNMENT SHARE OF CGDP (unit %)","Indonesia/GOVERNMENT SHARE OF RGDPL (unit %)","Indonesia/INVESTMENT SHARE OF CGDP (unit %)","Indonesia/INVESTMENT SHARE OF RGDPL (unit %)","Indonesia/OPENNESS IN CONSTANT PRICES (unit %)","Indonesia/OPENNESS IN CURRENT PRICES (unit %)","Indonesia/POPULATION (unit 000S)","Indonesia/PRICE LEVEL OF CONSUMPTION (unit PPP/XRATE)","Indonesia/PRICE LEVEL OF GOVERNMENT (unit PPP/XRATE)","Indonesia/PRICE LEVEL OF GROSS DOMESTIC PRODUCT (unit US=100)","Indonesia/PRICE LEVEL OF INVESTMENT (unit PPP/XRATE)","Indonesia/RATIO OF GNP TO GDP (CURRENT PRICES) (unit %)","Indonesia/REAL GROSS DOMESTIC PRODUCT PER CAPITA (CURRENT PRICES) (unit $ CURRENT)"
1978,6.9564676812,56.9182354530,51.0292187630,18.2187927530,442.0454102000,24.8629717950,21.4764363530,15.0051032700,11.6376483870,60.3751198660,42.6961602670,142204.4320000000,58.5822955740,23.0419098520,53.6189566390,85.4569086410,98.0747838770,710.8671365700
1979,7.7195370997,52.0071792050,50.5258642970,24.1187449880,623.0554810000,23.8740758070,22.5077610670,16.1152525550,13.6216830740,59.6586211020,53.1140861470,145261.7760000000,48.2077850420,17.3965272470,43.5079320530,67.0235151820,95.6779357510,872.5827898900
1980,9.1468574400,45.2162280670,47.8307245380,30.5416101860,626.9940186000,24.2421617480,24.6346741710,16.6322964600,15.5087771020,58.5873486140,54.3096405230,148303.0080000000,53.8416892340,20.5233547190,47.2992087980,68.5397091020,95.8892739220,1113.2025063000
1981,10.0945424390,55.2690466330,61.2677395700,21.3660922870,631.7567139000,23.3648610800,24.7901188430,16.2335003280,15.9665139980,55.0346824960,53.0367835760,151304.9760000000,46.4008627640,21.1962031700,44.8793003390,73.7860032190,96.7051400770,1362.4963916000
1982,10.3428841240,56.2649911150,61.6106845570,18.5639770310,661.4207153000,25.1710318540,26.5609961360,17.2866339050,16.5961795660,52.1687234150,49.4970461440,154244.6080000000,45.0682123550,19.5795598570,42.6921531220,68.6126922030,95.1539192130,1437.9592191000
1983,10.3648947090,58.5380109790,62.8873498850,18.0098016850,909.2647705000,23.4521873360,24.3228968750,16.8512023030,16.1083641080,48.2276046950,51.6220391350,157156.5440000000,36.5048785010,15.5652368820,35.0943291690,57.3734028970,95.9085527600,1548.9929361000
1984,10.1368317790,57.9896092610,62.0413662390,19.1619988280,1025.9449460000,22.8483919110,23.5271611500,14.7086476810,14.3507954180,44.6951647820,48.5415274990,160075.4560000000,34.0603168540,14.7053329250,32.7320066250,55.4976830940,92.9699187830,1670.9044524000
1985,10.1929320970,59.0729378090,63.7040019740,17.5142165780,1110.5799560000,23.4128456130,24.3023180870,14.9342372180,14.7020768680,42.3283748680,43.4468524250,163036.0000000000,30.2341385490,15.0716571220,29.9939824140,52.4382067050,93.4186258020,1784.2524509000
1986,9.8000238750,60.2354075890,61.6741590110,15.8505931210,1282.5600590000,23.9139992900,23.7209883980,16.1435618710,15.2304101320,44.0466103930,40.7226562500,166015.0560000000,27.8209404420,12.3535524050,26.7710612100,44.2108551080,90.7271762700,1796.4253801000
1987,9.7882271179,58.8643872760,59.8334406030,18.5552061440,1643.8480220000,22.5804065800,22.7454218650,16.2258888750,15.4099414540,45.6929635100,47.3092369480,168989.5360000000,24.4430039480,9.9325686628,23.6635924830,39.9445201010,91.2452428190,1893.9442758000
1988,9.5657339218,55.2549685460,54.6386722100,21.0714005500,1685.7039790000,23.6736309040,23.1768920800,17.5977866560,16.1750707320,39.5950381350,45.6913827660,171994.0640000000,28.3058152240,9.4380894941,26.1312866520,41.7602453190,95.3757959230,1975.9057995000
1989,10.0169583650,53.7497967230,53.5700696960,22.0588181190,1770.0589600000,24.1913851580,23.4860388270,18.3283058700,17.0191380370,40.3681387200,46.4922049000,175063.3440000000,28.6217099720,9.5087191458,26.3141554550,41.7283567620,95.5040037420,2202.5914222000
1990,10.8991372640,55.6426925100,57.0362505050,21.0315605520,1842.8129880000,23.3257469380,22.7005467700,18.6110574670,18.1363075230,40.8080292670,49.8813478880,178232.0000000000,26.6238810040,9.6827128908,25.5849283740,42.4093851770,95.4402321850,2507.3409011000
1991,11.6347084110,55.9039730690,56.0904949700,22.2788978270,1950.3179930000,21.8171291040,22.1010839380,19.9226677950,18.8720456110,44.6748555290,50.4392971250,181397.0240000000,27.7731138840,9.8682859040,25.9185269080,38.2909361810,95.6342586480,2730.7907607000
1992,11.9941137410,55.6138022030,55.4060784400,22.5415074030,2029.9210210000,21.8446903930,21.8090724700,18.6817340320,18.2645691370,46.7910059960,53.7889518410,184556.1920000000,27.2569856180,10.2634885290,25.6335428130,38.7730217090,95.5583491210,2940.6835798000
1993,12.2574403240,57.5414678240,57.1227922390,21.8103180040,2087.1040040000,20.6482141730,20.5761404950,18.8361146650,18.3004945990,45.6617087150,50.5614567530,187707.2640000000,27.6701327120,11.7839620360,26.9037603510,41.1369845630,96.1934767840,3126.2036253000
1994,12.5035390040,57.9259915410,57.7672727130,22.2403254510,2160.7539060000,19.8336830090,19.6851960560,19.8649665370,19.5317139620,47.8222452560,50.3523884100,190847.9680000000,28.4477731350,11.2965344580,27.6884763160,41.8405040630,97.3185599920,3355.2141723000
1995,12.5077029200,57.3018243650,56.1113717220,23.0540707740,2248.6079100000,19.6441048620,18.8820250210,24.3739123930,23.5786672320,50.3857425730,54.1135063790,193976.0000000000,32.1088822950,11.9083985220,29.8720506740,39.0911423930,97.0592765020,3489.0135858000
1996,13.3288406050,61.4918543480,61.4918543480,20.6309097270,2342.2958980000,17.8772359250,17.8772359250,21.1945016870,21.1945016870,52.4140522260,52.4140522260,197156.4800000000,30.0457489660,12.5449003280,29.6223157370,42.7983410060,97.3201544220,3891.2097903000
1997,13.4313593750,62.5392803150,63.5957490610,20.6731921230,2909.3798830000,16.7875275610,17.1539530860,20.9921713900,21.5421639790,56.0425287490,56.1403508770,200390.2880000000,25.6590625210,10.6209757200,25.9986166250,39.3077705290,97.0758091110,4136.5683036000
1998,12.1315346810,62.1553934580,66.4613654720,22.9569191430,10013.6201200000,14.8876873990,16.1468324250,13.2227763750,14.6257243480,64.0036819910,96.1900774540,203678.3680000000,13.0731898490,4.5820206345,11.9803807080,15.1733931810,94.3611012880,3910.0165849000
1999,11.3610462830,66.3742057450,68.4446326420,18.1464285640,7855.1499020000,15.4793656920,16.0136709540,10.1255201280,11.0459122930,40.3457294400,62.4549387170,207021.6160000000,19.6580686920,7.5271938430,17.8080385850,21.3976493890,92.7927927930,3831.6002111000
2000,11.3290847220,64.7753752680,67.6334090190,18.5646691190,8421.7753910000,16.6599556140,16.2802585560,10.6687099920,11.4564093480,45.0231449430,69.2057594050,210420.9920000000,18.7389213180,7.6216115210,18.0646719950,30.2785358260,93.0232558140,4035.2689116000
